PlayerId,G,PER,PPG,RPG,APG,SPG,BPG,FG%,TS%,USG%,VORP
,,,,,,,,,,,
curryst01,79,31.5,30.1,5.4,6.7,2.1,0.2,0.504,0.669,32.6,9.8
westbru01,80,27.6,23.5,7.8,10.4,2,0.3,0.454,0.554,31.6,8.3
jamesle01,76,27.5,25.3,7.4,6.8,1.4,0.6,0.52,0.588,31.4,7.6
hardeja01,82,25.3,29,6.1,7.5,1.7,0.6,0.439,0.598,32.5,6.9
duranke01,72,28.2,28.2,8.2,5,1,1.2,0.505,0.634,30.6,6.4
lowryky01,77,22.2,21.2,4.7,6.4,2.05,0.44,0.427,0.578,26.1,6.3
leonaka01,72,26,21.2,6.8,2.6,1.78,0.99,0.506,0.616,25.8,6.2
paulch01,74,26.2,19.5,4.2,10,2.05,0.18,0.462,0.575,27.1,6
greendr01,81,19.3,14,9.5,7.4,1.47,1.4,0.49,0.587,18.8,5.5
millspa01,81,21.3,17.1,9,3.3,1.81,1.72,0.47,0.556,24.3,4.9
georgpa01,81,20.9,23.1,7,4.1,1.88,0.36,0.418,0.557,30.4,4.6
walkeke02,81,20.8,20.9,4.4,5.2,1.56,0.48,0.427,0.554,26.5,4.4
horfoal01,82,19.4,15.2,7.3,3.2,0.83,1.48,0.505,0.565,20.6,4.1
lillada01,75,22.2,25.1,4,6.8,0.87,0.37,0.419,0.56,31.3,3.8
butleji01,67,21.3,20.9,5.3,4.8,1.64,0.64,0.454,0.562,24.4,3.7
walljo01,77,19.8,19.9,4.9,10.2,1.88,0.77,0.424,0.51,28.6,3.7
gasolpa01,72,21.7,16.5,11,4.1,0.58,2.03,0.469,0.529,24.6,3.5
jordade01,77,20.6,12.7,13.8,1.2,0.66,2.3,0.703,0.628,15.4,3.5
haywago01,80,18.3,19.7,5,3.7,1.19,0.34,0.433,0.559,25.7,3.3
thomais02,82,21.5,22.2,3,6.2,1.11,0.1,0.428,0.562,29.6,3.3
antetgi01,80,18.8,16.9,7.7,4.3,1.18,1.41,0.506,0.566,22.3,3.2
townska01,82,22.5,18.3,10.5,2,0.71,1.68,0.542,0.59,24.9,3.1
jokicni01,80,21.5,10,7,2.4,0.99,0.63,0.512,0.582,19.9,3
anthoca01,72,20.3,21.8,7.7,4.2,0.86,0.53,0.434,0.53,29.7,2.9
crowdja01,73,15.8,14.2,5.1,1.8,1.73,0.48,0.443,0.565,18.5,2.8
goberru01,61,17.5,9.1,11,1.5,0.74,2.21,0.559,0.582,14.2,2.8
loveke01,77,19,16,9.9,2.4,0.75,0.53,0.419,0.553,23.4,2.8
willima02,81,16.8,11.7,6.4,1.4,0.72,0.95,0.452,0.585,16.8,2.7
couside01,65,23.6,26.9,11.5,3.3,1.55,1.42,0.451,0.538,35.4,2.6
jacksre01,79,19.6,18.8,3.2,6.2,0.75,0.14,0.434,0.535,29.1,2.6
arizatr01,81,12.9,12.7,4.5,2.3,1.98,0.32,0.416,0.551,15.7,2.5
batumni01,70,15.6,14.9,6.1,5.8,0.9,0.6,0.426,0.546,21.4,2.5
dienggo01,82,17.1,10.1,7.1,1.7,1.15,1.17,0.532,0.601,16.7,2.5
greenda02,79,10.5,7.2,4.2,1.8,1,0.8,0.436,0.492,14.6,2.5
plumlma01,82,17.2,9.1,7.7,2.8,0.8,1,0.516,0.564,17.1,2.5
bogutan01,70,15.9,5.4,7,2.3,0.47,1.63,0.627,0.623,11.4,2.4
derozde01,78,21.5,23.5,4.5,4,1.04,0.27,0.446,0.55,29.8,2.4
duncati01,61,16.9,8.6,7.3,2.7,0.77,1.28,0.488,0.523,17.6,2.4
whiteha01,73,25.7,14.2,11.8,0.4,0.6,3.68,0.606,0.629,20.7,2.4
davisan02,61,25,24.3,10.3,1.9,1.28,2.05,0.493,0.559,29.6,2.3
davised01,81,18.7,6.5,7.4,1.1,0.7,0.89,0.611,0.616,12.7,2.3
denglu01,74,15,12.3,6,1.9,1,0.39,0.455,0.549,17.4,2.3
favorde01,62,21.6,16.4,8.1,1.5,1.19,1.47,0.515,0.551,23.9,2.3
johnsam01,79,16,7.3,6.4,1.7,0.66,1.05,0.585,0.602,13.6,2.3
oladivi01,72,16.7,16,4.8,3.9,1.61,0.75,0.438,0.534,22.9,2.3
rubiori01,76,17.6,10.1,4.3,8.6,2.13,0.13,0.374,0.529,17.7,2.3
aldrila01,74,22.4,18,8.5,1.5,0.51,1.09,0.513,0.565,25.9,2.2
caldwke01,76,12.4,14.5,3.7,1.8,1.45,0.22,0.42,0.521,18.2,2.2
hillge01,74,13.2,12.1,4,3.5,1.12,0.23,0.441,0.555,15.8,2.2
porteot01,75,14.5,11.6,5.2,1.6,1.4,0.43,0.473,0.564,16.2,2.2
