Player Name,PlayerId,Position,Sport,Team,Salary
,,,,,
J.J. Watt,WattJ.00,DE,NFL,HOU,13969000
Aaron Donald,DonaAa00,DT,NFL,STL,2303750
Cam Newton,NewtCa00,QB,NFL,CAR,13000000
Andrew Whitworth,WhitAn20,T,NFL,CIN,7200000
Russell Wilson,WilsRu00,QB,NFL,SEA,7054868
Geno Atkins,AtkiGe99,DT,NFL,CIN,9000000
Tom Brady,BradTo00,QB,NFL,NWE,14000000
Antonio Brown,BrowAn04,WR,NFL,PIT,7120833
Von Miller,MillVo00,OLB,NFL,DEN,9754000
Thomas Davis,DaviTh20,OLB,NFL,CAR,7650000
Julio Jones,JoneJu02,WR,NFL,ATL,12400000
Carson Palmer,PalmCa00,QB,NFL,ARI,7375000
Alex Smith,SmitAl03,QB,NFL,KAN,15600000
Muhammad Wilkerson,WilkMu00,DE,NFL,NYJ,6969000
Luke Kuechly,KuecLu00,MLB,NFL,CAR,6697018
Josh Norman,NormJo01,DB,NFL,CAR,1591750
Bobby Wagner,WagnBo00,MLB,NFL,SEA,2970663
Blake Bortles,BortBl00,QB,NFL,JAX,4694273
NaVorro Bowman,BowmNa99,MLB,NFL,SFO,8404000
Drew Brees,BreeDr00,QB,NFL,NOR,23800000
David DeCastro,DeCaDa00,G,NFL,PIT,2486240
Derrick Johnson,JohnDe25,MLB,NFL,KAN,5250000
Khalil Mack,MackKh00,OLB,NFL,OAK,4244773
Eli Manning,MannEl00,QB,NFL,NYG,14450000
Adrian Peterson,PeteAd01,RB,NFL,MIN,15650000
Aaron Rodgers,RodgAa00,QB,NFL,GNB,18250000
Richard Sherman,SherRi00,DB,NFL,SEA,12200000
Kawann Short,ShorKa00,DT,NFL,CAR,1262819
Odell Beckham,BeckOd00,WR,NFL,NYG,2365045
Teddy Bridgewater,BridTe00,QB,NFL,MIN,1556705
Calais Campbell,CampCa99,DE,NFL,ARI,14750000
Derek Carr,CarrDe02,QB,NFL,OAK,1220864
Fletcher Cox,CoxxFl00,DT,NFL,PHI,3258563
Andy Dalton,DaltAn00,QB,NFL,CIN,9600000
Ryan Fitzpatrick,FitzRy00,QB,NFL,NYJ,3250000
A.J. Green,GreeA.00,WR,NFL,CIN,14750000
Chris Harris,HarrCh01,DB,NFL,DEN,3000000
Ryan Kalil,KaliRy20,C,NFL,CAR,11795000
Brandon Marshall,MarsBr00,WR,NFL,NYJ,9000000
Reggie Nelson,NelsRe99,S,NFL,CIN,4775000
Matt Ryan,RyanMa00,QB,NFL,ATL,19500000
Matthew Stafford,StafMa00,QB,NFL,DET,17721250
Tyrod Taylor,TaylTy00,QB,NFL,BUF,883333
Trent Williams,WillTr21,T,NFL,WAS,10664763
Jameis Winston,WinsJa00,QB,NFL,TAM,4609323
Ezekiel Ansah,AnsaEz00,DE,NFL,DET,5071228
Michael Bennett,BennMi99,DE,NFL,SEA,8000000
Jamie Collins,CollJa00,OLB,NFL,NWE,1025728
Kirk Cousins,CousKi00,QB,NFL,WAS,778172
Jay Cutler,CutlJa00,QB,NFL,CHI,16500000
Carlos Dunlap,DunlCa99,DE,NFL,CIN,4900000
Rob Gronkowski,GronRo00,TE,NFL,NWE,8650000
Mike Iupati,IupaMi20,G,NFL,ARI,6700000
Clay Matthews,MattCl99,OLB,NFL,GNB,12700000
Greg Olsen,OlseGr00,TE,NFL,CAR,6300000
Patrick Peterson,PetePa00,DB,NFL,ARI,14791491
Philip Rivers,RivePh00,QB,NFL,SDG,21166668
Ben Roethlisberger,RoetBe00,QB,NFL,PIT,17245000
Doug Baldwin,BaldDo00,WR,NFL,SEA,4650000
Eric Berry,BerrEr99,S,NFL,KAN,8357700
Elvis Dumervil,DumeEl20,OLB,NFL,BAL,7375000
Larry Fitzgerald,FitzLa00,WR,NFL,ARI,10850000
Devonta Freeman,FreeDe00,RB,NFL,ATL,631106
Garry Gilliam,GillGa01,G,NFL,SEA,514000
Everson Griffen,GrifEv99,DE,NFL,MIN,8200000
DeAndre Hopkins,HopkDe00,WR,NFL,HOU,2080009
Chandler Jones,JoneCh03,DE,NFL,NWE,2600659
Jeremy Maclin,MaclJe00,WR,NFL,KAN,3400000
Doug Martin,MartDo00,RB,NFL,TAM,2159668
Julius Peppers,PeppJu99,OLB,NFL,GNB,12000000
Marcus Peters,PeteMa00,DB,NFL,KAN,1742574
Allen Robinson,RobiAl02,WR,NFL,JAX,797925
Josh Sitton,SittJo20,G,NFL,GNB,7000000
Ryan Tannehill,TannRy00,QB,NFL,MIA,4873364
Joe Thomas,ThomJo28,T,NFL,CLE,10200000
Jared Veldheer,VeldJa20,T,NFL,ARI,8500000
Charles Woodson,WoodCh00,DB,NFL,OAK,4200000
Giovani Bernard,BernGi00,RB,NFL,CIN,1432729
John Brown,BrowJo02,WR,NFL,ARI,657725
Malcolm Butler,ButlMa01,DB,NFL,NWE,510000
Mike Evans,EvanMi00,WR,NFL,TAM,3325341
Calvin Johnson,JohnCa00,WR,NFL,DET,20558000
Sean Lee,LeexSe99,OLB,NFL,DAL,5450000
Kyle Long,LongKy00,G,NFL,CHI,2263896
Tyrann Mathieu,MathTy00,DB,NFL,ARI,855937
Darrelle Revis,ReviDa99,DB,NFL,NYJ,16000000
Tyron Smith,SmitTy00,T,NFL,DAL,5039000
Zach Strief,StriZa20,T,NFL,NOR,3200000
